Produkt,Nigdy,Rzadziej niż 1 raz w miesiącu,1-3 razy w miesiącu,1 raz w tygodniu,2-3 razy w tygodniu,4-5 razy w tygodniu,1 raz dziennie,Kilka razy dziennie
Jabłka i gruszki,0.2,2.1,11,18.2,41.4,17.8,8.2,1
Owoce pestkowe,4.4,10,27.8,29.7,22.1,4.4,1.6,0
Owoce jagodowe,4.8,29.8,33.9,17.3,10.4,3.2,0.5,0
Owoce cytrusowe i egzotyczne,4.1,16.9,27.5,25.9,18.7,6.3,0.5,0
