Produkt,Nigdy,Rzadziej niż 1 raz w miesiącu,1-3 razy w miesiącu,1 raz w tygodniu,2-3 razy w tygodniu,4-5 razy w tygodniu,1 raz dziennie,Kilka razy dziennie
Warzywa krzyżowe,0.3,1.2,13.3,29.9,37.3,15.1,2.7,0.2
Warzywa o jadalnych owocach,0,0.2,2.2,11.7,34.4,32.2,14.7,4.7
Warzywa zielone liściaste,0.7,3.9,14.6,25.8,36.2,13.9,4.5,0.5
Warzywa korzeniowe,0.3,3.8,10.2,27.4,35.5,16.6,6.2,0
Ziemniaki,0.3,0.8,3.2,14.7,43.9,26.2,10.2,0.7
Rośliny strączkowe,11.8,27.3,29.5,21.1,8,2,0.3,0
