Produkt,Nigdy,Rzadziej niż 1 raz w miesiącu,1-3 razy w miesiącu,1 raz w tygodniu,2-3 razy w tygodniu,4-5 razy w tygodniu,1 raz dziennie,Kilka razy dziennie
Jabłka i gruszki,0.5,1.4,5.8,16.8,39.2,23.4,11.7,1.2
Owoce pestkowe,3.6,10.4,21.9,29.7,24.7,8.9,0.7,0.2
Owoce jagodowe,5.9,22.2,31.8,18.8,14.5,6.3,0.3,0.2
Owoce cytrusowe i egzotyczne,2.8,13.5,24.6,25.5,22.9,8.8,1.9,0
