LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
128;149220080;CISNA;Solinka (22134);49 12 47;22 20 00;
129;149220100;TERKA;Solinka (22134);49 17 59;22 25 45;
130;149220110;KALNICA;Wetlina (221346);49 11 20;22 25 45;
131;149220130;ZATWARNICA;San (22);49 14 06;22 33 47;
132;149220140;POLANA;Czarna (22132);49 18 09;22 34 27;
133;149220150;DWERNIK;San (22);49 13 07;22 37 58;
134;149220160;RYBOTYCZE;Wiar (224);49 39 16;22 38 18;
135;149220170;KROŚCIENKO;Strwiąż (76);49 28 23;22 39 46;
136;149220180;STUPOSIANY;Wołosaty (22114);49 11 09;22 41 01;
137;149220190;PRZEMYŚL;San (22);49 47 05;22 46 02;
138;149220200;KRÓWNIKI;Wiar (224);49 46 01;22 49 23;
139;149220210;NIENOWICE;Wisznia (2252);49 56 16;22 55 01;
140;149229998;Kańczuga;Mleczka (2268);49 58 48;22 25 14;
141;149229999;Manasterz;Mleczka (2268);49 55 39;22 20 16;
142;149230020;BUDZYŃ;Szkło (2254);49 59 05;23 07 20;
143;150140010;Porajów;Nysa Łużycka (174);50 53 14;14 49 17;
144;150140020;Sieniawka;Nysa Łużycka (174);50 53 47;14 50 13;
145;150140030;Turoszów;Miedzianka (17416);50 56 20;14 55 04;
146;150140100;BOGATYNIA;Miedzianka (17416);50 53 32;14 59 42;
147;150140140;Kopaczów;Lubota (174134);50 52 20;14 49 43;
148;150150010;Mirsk;Kwisa (166);50 59 22;15 23 02;
149;150150020;Mirsk;Czarny Potok (16632);50 59 12;15 23 02;
150;150150030;Jakuszyce;Kamienna (162);50 49 21;15 26 24;
151;150150040;Barcinek;Kamienica (163332);50 56 38;15 36 14;
152;150150050;Piechowice;Kamienna (162);50 51 00;15 35 18;
153;150150060;Pilchowice;Bóbr (16);50 57 50;15 38 26;
154;150150070;Jelenia Góra;Kamienna (162);50 53 55;15 43 20;
155;150150080;Jelenia Góra;Bóbr (16);50 54 39;15 43 17;
156;150150090;Łomnica;Łomnica (1618);50 52 35;15 48 11;
157;150150100;Wojanów;Bóbr (16);50 52 14;15 49 37;
158;150150110;Kowary;Jedlica (16188);50 47 41;15 50 03;
159;150150120;Bukówka;Bóbr (16);50 42 46;15 57 27;
160;150150130;Błażkowa;Bóbr (16);50 44 22;15 59 11;
161;150150190;Podgórzyn;Podgórna (16288);50 49 13;15 41 01;
162;150150200;Sosnówka;Sośniak (16288832);50 49 20;15 43 09;
163;150150230;Opawa;Bóbr (16);50 42 05;15 55 32;
164;150159997;Miszkowice;Złotna (161152);50 42 52;15 55 44;
165;150160010;Kamienna Góra;Bóbr (16);50 47 11;16 02 10;
166;150160020;Świebodzice;Pełcznica (13486);50 51 37;16 18 49;
167;150160030;Chwaliszów;Strzegomka (1348);50 52 40;16 13 59;
168;150160040;Kudowa-Zdrój-Zakrze;Klikawa (946);50 25 51;16 14 38;
169;150160060;Jugowice;Bystrzyca (134);50 43 59;16 24 12;
170;150160070;Lubachów;Bystrzyca (134);50 45 57;16 25 52;
171;150160080;Tłumaczów;Ścinawka (122);50 33 07;16 26 10;
172;150160090;Łażany;Strzegomka (1348);50 57 11;16 29 33;
173;150160100;Gorzuchów;Ścinawka (122);50 29 07;16 34 16;
174;150160110;Szalejów Dolny;Bystrzyca Dusznicka (1218);50 25 11;16 36 17;
175;150160120;Krasków;Bystrzyca (134);50 54 56;16 35 02;
176;150160130;Mościsko;Piława (1344);50 46 55;16 35 03;
177;150160140;Dzierżoniów;Piława (1344);50 43 33;16 38 46;
178;150160150;Bystrzyca Kłodzka;Bystrzyca (1214);50 17 47;16 38 55;
179;150160160;Mietków;Bystrzyca (134);50 58 06;16 39 02;
180;150160170;Bystrzyca Kłodzka;Nysa Kłodzka (12);50 17 37;16 38 54;
181;150160180;Kłodzko;Nysa Kłodzka (12);50 26 33;16 39 31;
182;150160190;Międzylesie;Nysa Kłodzka (12);50 09 20;16 39 51;
183;150160200;Żelazno;Biała Lądecka (1216);50 22 23;16 40 26;
184;150160210;Wilkanów;Wilczka (1212);50 15 55;16 39 44;
185;150160220;Bardo;Nysa Kłodzka (12);50 30 16;16 44 23;
186;150160230;Lądek-Zdrój;Biała Lądecka (1216);50 20 48;16 52 13;
187;150160250;Białobrzezie;Ślęza (1336);50 48 08;16 53 32;
188;150160270;Kamieniec Ząbkowicki;Budzówka (1232);50 31 56;16 51 54;
189;150160280;Borów;Ślęza (1336);50 53 20;16 59 26;
190;150160290;Gniechowice;Czarna Woda (1346);50 59 15;16 49 45;
191;150160330;Szczytna;Kamienny Potok (12184);50 24 56;16 26 35;
192;150160340;Sarny;Włodzica (1224);50 32 52;16 27 57;
193;150160350;Szalejów Górny;Bystrzyca Dusznicka (1218);50 25 06;16 32 14;
194;150160360;Starków;Duna Dolna (121584);50 22 39;16 34 48;
195;150160370;Topolice;Duna Górna (12158);50 22 01;16 36 33;
196;150160380;Krosnowice;Duna Górna (12158);50 23 01;16 37 43;
197;150160390;Roztoki Bystrzyckie;Goworówka (12114);50 11 27;16 40 20;
198;150160400;Boboszów;Nysa Kłodzka (12);50 06 53;16 41 30;
199;150160410;Gajnik;Cieszyca (121144);50 11 37;16 42 14;
200;150160420;Goworów;Goworówka (12114);50 10 44;16 42 43;
201;150160430;Domanice;Bystrzyca (134);50 56 55;16 35 11;
202;150169999;Sędzisław;Bóbr (16);50 49 10;16 02 43;
203;150170010;Zborowice;Oława (1334);50 48 20;17 10 14;
204;150170030;Oława;Oława (1334);50 56 52;17 17 34;
205;150170040;Oława;Odra (1);50 56 47;17 18 23;
206;150170050;Biała Nyska;Biała Głuchołaska (12598);50 26 01;17 17 51;
207;150170060;Nysa;Nysa Kłodzka (12);50 28 52;17 20 30;
208;150170070;Głuchołazy;Biała Głuchołaska (12598);50 18 58;17 22 46;
209;150170080;Jarnołtówek;Złoty Potok (117644);50 17 09;17 25 41;
210;150170090;Brzeg;Odra (1);50 51 56;17 28 10;
211;150170100;Kopice;Nysa Kłodzka (12);50 38 44;17 28 42;
212;150170110;Prudnik;Prudnik (11764);50 19 10;17 35 19;
213;150170120;Niemodlin;Ścinawa Niemodlińska (128);50 38 44;17 37 28;
214;150170130;Ujście Nysy Kłodzkiej;Odra (1);50 49 06;17 39 40;
215;150170140;Skorogoszcz;Nysa Kłodzka (12);50 45 43;17 40 30;
216;150170150;Karłowice;Stobrawa (132);50 52 43;17 43 18;
217;150170160;Branice;Opawa (112);50 03 04;17 46 10;
218;150170170;Branice;Boczne koryto Opawy (112374);50 03 05;17 46 19;
219;150170180;Racławice Śląskie;Osobłoga (1176);50 18 55;17 47 20;
220;150170200;Domaradz;Bogacica (1324);50 57 15;17 51 52;
221;150170210;Krzywa Góra;Budkowiczanka (1328);50 51 39;17 52 43;
222;150170220;Dobra;Biała (11768);50 26 53;17 53 49;
223;150170240;Krapkowice;Odra (1);50 28 38;17 58 05;
224;150170290;Opole-Groszowice;Odra (1);50 38 03;17 56 18;
225;150170320;MALERZOWICE WIELKIE;Nysa Kłodzka (12);50 35 04;17 28 28;
226;150170330;Paczków;Nysa Kłodzka (12);50 28 08;17 00 58;
227;150170340;Dziewiętlice;Świdna (1259928);50 24 57;17 05 07;
228;150170350;Kałków;Widna (12594);50 24 02;17 11 48;
229;150170360;Steblów;Osobłoga (1176);50 27 06;17 56 26;
230;150180010;Kamionka;Stradunia (1174);50 23 28;18 02 33;
231;150180020;Turawa;Mała Panew (118);50 44 23;18 04 36;
232;150180030;Koźle;Odra (1);50 21 07;18 08 48;
233;150180040;Bojanów;Psina (1152);50 01 50;18 09 15;
234;150180050;Ozimek;Mała Panew (118);50 40 45;18 12 14;
235;150180060;Racibórz-Miedonia;Odra (1);50 07 19;18 13 47;
236;150180070;Lenartowice;Kłodnica (116);50 21 27;18 14 08;
237;150180080;Grabówka;Bierawka (1158);50 17 04;18 16 33;
238;150180090;Nędza;Sumina (11568);50 09 28;18 18 38;
239;150180100;Staniszcze Wielkie;Mała Panew (118);50 39 48;18 20 33;
240;150180110;Ruda Kozielska;Ruda (1156);50 12 17;18 24 06;
241;150180130;Rybnik-Stodoły;Ruda (1156);50 09 15;18 28 59;
242;150180140;Rybnik;Nacyna (115654);50 06 09;18 31 59;
243;150180150;Pyskowice-Dzierżno;Kłodnica (116);50 22 47;18 32 36;
244;150180160;Pyskowice-Dzierżno;Drama (1166);50 22 57;18 32 35;
245;150180170;Pyskowice;Drama (1166);50 23 11;18 35 20;
246;150180190;Krupski Młyn;Mała Panew (118);50 34 16;18 37 28;
247;150180210;Niwki;Liswarta (1816);50 49 15;18 39 45;
248;150180220;Gliwice;Kłodnica (116);50 17 53;18 40 06;
249;150180230;Wesoła;Stoła (11816);50 33 42;18 41 24;
250;150180250;Kłodnica;Kłodnica (116);50 14 12;18 51 51;
251;150180270;Kozłowa Góra;Brynica (2126);50 24 44;18 58 19;
252;150180280;Rybnik-Gotartowice;Ruda (1156);50 05 08;18 37 43;
253;150180300;Tychy;Gostynia (2118);50 05 12;18 58 40;
254;150180310;Bobrowniki;Brynica (2126);50 22 28;18 57 47;
255;150180320;Rudziniec;Kłodnica (116);50 22 43;18 24 21;
256;150180330;Rybnik-Paruszowiec;Ruda (1156);50 06 36;18 33 26;
257;150180340;Kluczbork;Stobrawa (132);50 58 09;18 14 24;
258;150190010;Brynica;Brynica (2126);50 28 21;19 00 02;
259;150190050;Bieruń Stary;Mleczna (21188);50 05 34;19 05 19;
260;150190060;Bojszowy;Gostynia (2118);50 03 40;19 06 30;
261;150190070;Szabelnia;Brynica (2126);50 15 34;19 08 12;
262;150190080;Radocha;Przemsza (212);50 15 39;19 08 25;
263;150190100;Niwka;Biała Przemsza (2128);50 14 09;19 09 39;
264;150190120;PRZECZYCE;Przemsza (212);50 25 38;19 10 40;
265;150190130;ŁAGISZA;Przemsza (212);50 21 01;19 11 08;
266;150190140;BIERUŃ NOWY;Wisła (2);50 03 53;19 11 37;
267;150190150;Poraj;Warta (18);50 40 24;19 12 14;
268;150190160;OŚWIĘCIM;Soła (2132);50 02 24;19 13 07;
269;150190170;PUSTYNIA;Wisła (2);50 03 48;19 14 11;
270;150190180;JELEŃ;Przemsza (212);50 09 40;19 14 23;
271;150190190;PIWOŃ;Przemsza (212);50 28 59;19 15 12;
272;150190200;Lgota Nadwarcie;Warta (18);50 37 06;19 15 34;
273;150190210;Kuźnica Sulikowska;Mitręga (21234);50 27 11;19 16 22;
274;150190220;MSTÓW;Warta (18);50 49 52;19 17 20;
275;150190240;Kręciwilk;Warta (18);50 32 43;19 22 13;
276;150190250;Sławków;Biała Przemsza (2128);50 17 59;19 23 56;
277;150190260;SMOLICE;Wisła (2);50 01 52;19 27 37;
278;150190270;Golczowice;Biała Przemsza (2128);50 21 41;19 36 09;
279;150190280;Wąsosz;Pilica (254);50 45 04;19 40 58;
280;150190310;BALICE;Rudawa (2136);50 05 35;19 48 24;
281;150190330;OJCÓW;Prądnik (21374);50 11 41;19 49 57;
282;150190340;KRAKÓW-BIELANY;Wisła (2);50 02 25;19 50 36;
283;150190350;Januszewice;Czarna (2542);50 56 30;19 57 39;
284;150190360;Las;Wisła (2);50 02 08;19 22 56;
285;150190390;Częstochowa 1;Stradomka (1812);50 47 45;19 07 30;
286;150190400;Częstochowa 2;Kucelinka (18132);50 48 22;19 09 15;
287;150190410;Częstochowa 3;Warta (18);50 48 50;19 07 58;
288;150190430;Kamienica Polska;Kamieniczka (18118);50 41 14;19 09 15;
289;150190440;Słowik;Warta (18);50 44 54;19 11 02;
290;150190450;Nowa Kuźnica;Boży Stok (181152);50 37 14;19 12 58;
291;150190460;Masłońskie;Ordonka (181156);50 38 57;19 15 12;
292;150190470;Dąbek;Wiercica (18136);50 50 58;19 26 39;
293;150190480;Kraków-Łagiewniki;Wilga (21372);50 00 43;19 56 16;
294;150200010;MNISZEK;Nida (216);50 43 39;20 17 06;
295;150200020;BOCHENIEC;Wierna Rzeka (2162);50 48 09;20 18 42;
296;150200030;BRZEGI;Nida (216);50 44 31;20 24 50;
297;150200040;TOKARNIA;Czarna Nida (2164);50 46 27;20 27 11;
298;150200050;MICHAŁÓW;Mierzawa (2166);50 29 30;20 27 23;
299;150200060;SIEROSŁAWICE;Wisła (2);50 07 55;20 27 24;
300;150200070;BISKUPICE;Szreniawa (21392);50 10 39;20 29 57;
301;150200080;PIŃCZÓW;Nida (216);50 30 51;20 31 13;
302;150200090;SŁOWIK;Bobrza (216482);50 49 58;20 32 10;
303;150200100;POPĘDZYNKA;Wisła (2);50 08 29;20 32 58;
304;150200120;MORAWICA;Czarna Nida (2164);50 45 01;20 37 00;
305;150200140;BORZĘCIN;Uszwica (21396);50 03 54;20 42 20;
306;150200150;KARSY;Wisła (2);50 16 30;20 46 29;
307;150200160;DALESZYCE;Czarna Nida (2164);50 48 03;20 48 47;
308;150200170;ŻABNO;Dunajec (214);50 07 55;20 51 43;
309;150200180;Orłów;Szreniawa (21392);50 17 03;20 02 10;
310;150200190;Kamyszów;Nidzica (21398);50 18 15;20 28 27;
311;150200200;Wiślica 2;Nida (216);50 20 26;20 40 21;
312;150200210;Leszczyny;Lubrzanka (21644);50 52 40;20 45 53;262.0
313;150200220;Grabie;Wisła (2);50 02 43;20 08 36;193.0
314;150210010;RAKÓW;Czarna (2178);50 40 34;21 01 43;
315;150210020;SZCZUCIN;Wisła (2);50 19 37;21 04 38;
316;150210030;MOCHA;Łagowica (217832);50 40 14;21 04 49;
317;150210040;Rzepin;Świślina (2348);50 58 22;21 05 31;
318;150210050;WILKOWA;Wschodnia (21788);50 27 45;21 09 57;
319;150210060;STASZÓW;Czarna (2178);50 33 23;21 10 23;
320;150210070;WAMPIERZÓW;Breń (2174);50 17 58;21 13 51;
321;150210080;Nietulisko Duże;Świślina (2348);50 58 44;21 14 31;
322;150210090;Kunów;Kamienna (234);50 57 43;21 16 44;
323;150210100;POŁANIEC;Czarna (2178);50 26 05;21 17 06;
324;150210110;GŁOWACZOWA;Grabinka (21876);50 02 59;21 18 45;
325;150210120;MIELEC 2;Wisłoka (218);50 16 45;21 25 49;
326;150210130;PUSTKÓW;Wisłoka (218);50 08 36;21 27 54;
327;150210140;BRZEŹNICA;Brzeźnica (2188);50 06 23;21 29 13;
328;150210150;KOŁO;Wisła (2);50 30 17;21 30 40;
329;150210160;KOPRZYWNICA;Koprzywianka (2194);50 35 45;21 34 23;
330;150210170;SANDOMIERZ;Wisła (2);50 40 21;21 44 46;
331;150210180;Annopol;Wisła (2);50 53 57;21 49 56;
332;150210190;ZAWICHOST;Wisła (2);50 48 21;21 51 47;
333;150210200;GRĘBÓW;Łęg (2198);50 34 33;21 54 43;
334;150210210;RADOMYŚL;San (22);50 40 25;21 55 51;
335;150210220;Włochy;Pokrzywianka (234852);50 54 27;21 08 49;
336;150210410;Wola Raniżowska;Łęg (2198);50 17 39;21 59 16;
337;150220010;RZESZÓW;Wisłok (226);50 02 23;22 00 56;
338;150220020;RUDA JASTKOWSKA;Bukowa (2294);50 35 51;22 08 23;
339;150220030;NISKO;San (22);50 31 12;22 11 34;
340;150220040;SARZYNA;Trzebośnica (2274);50 19 38;22 20 51;
341;150220050;HARASIUKI;Tanew (228);50 28 39;22 28 27;
342;150220060;GORLICZYNA;Mleczka (2268);50 05 08;22 29 14;
343;150220070;RZUCHÓW;San (22);50 14 49;22 30 07;
344;150220080;TRYŃCZA;Wisłok (226);50 09 44;22 32 50;
345;150220090;LEŻACHÓW;San (22);50 08 25;22 36 11;
346;150220100;JAROSŁAW;San (22);50 01 16;22 42 10;
347;150220110;BIŁGORAJ;Łada (2286);50 32 32;22 42 55;
348;150220120;Zakłodzie;Pór (24174);50 45 27;22 51 36;
349;150220130;ZAPAŁÓW;Lubaczówka (2256);50 06 02;22 53 24;
350;150220140;CHARYTANY;Szkło (2254);50 00 12;22 56 19;
351;150220160;OSUCHY;Tanew (228);50 23 56;22 57 18;
352;150220170;Zwierzyniec;Wieprz (24);50 36 40;22 58 00;
353;150230010;Nielisz;Wieprz (24);50 48 31;23 02 28;
354;150230020;Wirkowice;Wieprz (24);50 51 58;23 05 56;
355;150230030;KRZAK;Łabuńka (242);50 48 09;23 06 16;
356;150230040;Krasnystaw;Wieprz (24);50 59 07;23 10 36;
357;150230050;Orłów Drewniany;Wolica (2432);50 54 54;23 11 48;
358;150230070;Gozdów;Huczwa (267142);50 46 39;23 48 26;
359;150230080;Michalów;Wieprz (24);50 44 03;23 01 14;
360;150240010;Strzyżów;Bug (26714);50 50 22;24 02 09;
361;150240020;Kryłów;Bug (26714);50 40 38;24 03 45;
362;151140010;Gubin;Nysa Łużycka (174);51 58 19;14 42 25;
363;151140020;Pleśno;Lubsza (1748);51 54 56;14 45 16;
364;151140030;Przewoźniki;Skroda (1746);51 31 31;14 49 18;
365;151140040;Przewóz;Nysa Łużycka (174);51 28 20;14 56 49;
366;151140050;Ręczyn;Witka (1742);51 02 35;14 58 48;
367;151140060;Zgorzelec;Nysa Łużycka (174);51 09 40;14 59 37;
368;151140170;Janiszowice;Nysa Łużycka (174);51 46 43;14 39 13;
369;151140180;Olszyna;Nysa Łużycka (174);51 39 59;14 45 11;
370;151140190;Gubin;Lubsza (1748);51 56 31;14 44 04;
371;151140200;Sanice;Nysa Łużycka (174);51 25 02;14 58 03;
372;151150010;Zgorzelec;Czerwona Woda (1744);51 07 51;15 01 14;
373;151150020;Ostróżno;Witka (1742);51 01 15;15 01 58;
374;151150030;Iłowa;Czerna Mała (1686);51 30 11;15 11 54;
375;151150040;Nowogród Bobrzański;Bóbr (16);51 47 55;15 14 13;
376;151150050;Dobroszów Wielki;Bóbr (16);51 46 27;15 15 22;
377;151150060;Leśna;Kwisa (166);51 01 42;15 17 12;
378;151150070;Żagań;Czerna Wielka (168);51 36 50;15 17 23;
379;151150080;Żagań;Bóbr (16);51 37 05;15 18 57;
380;151150090;Łozy;Kwisa (166);51 29 29;15 22 07;
381;151150100;Nowogrodziec;Kwisa (166);51 12 11;15 23 45;
382;151150110;Gryfów Śląski;Kwisa (166);51 01 36;15 24 47;
383;151150120;Szprotawa;Bóbr (16);51 33 41;15 31 36;
384;151150130;Szprotawa;Szprotawa (164);51 33 55;15 33 19;
385;151150140;Dąbrowa Bolesławiecka;Bóbr (16);51 19 33;15 34 14;
386;151150150;Nowa Sól;Odra (1);51 48 08;15 43 18;
387;151150160;Zagrodno;Skora (13866);51 11 20;15 51 50;
388;151150170;Świerzawa;Kaczawa (138);51 01 04;15 53 16;
389;151150180;Chojnów;Skora (13866);51 16 22;15 56 44;
390;151160020;Rzymówka;Kaczawa (138);51 08 22;16 01 32;
391;151160030;Radzyń;Jez. Sławskie (Czernica) (15612);51 52 22;16 02 17;
392;151160040;Bukowna;Czarna Woda (1386);51 18 36;16 02 49;
393;151160050;Dunino;Kaczawa (138);51 09 25;16 04 38;
394;151160060;Głogów;Odra (1);51 40 26;16 03 33;
395;151160070;Winnica;Nysa Szalona (1384);51 06 42;16 05 37;
396;151160080;Rzeszotary;Czarna Woda (1386);51 14 56;16 08 41;
397;151160090;Jawor;Nysa Szalona (1384);51 02 54;16 11 23;
398;151160100;Piątnica;Kaczawa (138);51 13 40;16 11 57;
399;151160130;Ścinawa;Odra (1);51 24 32;16 26 36;
400;151160140;Osetno;Barycz (14);51 37 55;16 27 36;
401;151160150;Malczyce;Odra (1);51 13 36;16 29 23;
402;151160160;Rydzyna;Polski Rów (148);51 46 58;16 40 08;
403;151160170;Brzeg Dolny;Odra (1);51 15 38;16 43 36;
404;151160180;Bogdaszowice;Strzegomka (1348);51 05 12;16 47 33;
405;151160190;Jarnołtów;Bystrzyca (134);51 07 18;16 50 34;
406;151160200;Korzeńsko;Orla (146);51 32 21;16 52 21;
407;151160220;Kanclerzowice;Sąsiecznica (144);51 27 13;16 57 22;
408;151160230;Ślęza;Ślęza (1336);51 02 15;16 59 06;
409;151160260;Sława Śląska;Czernica (15612);51 52 50;16 04 31;
410;151160300;Wąsosz;Barycz (14);51 33 30;16 41 19;
411;151170010;Krzyżanowice;Widawa (136);51 10 16;17 02 51;
412;151170030;Trestno;Odra (1);51 04 56;17 08 49;
413;151170040;Łąki;Barycz (14);51 29 35;17 08 47;
414;151170050;Zbytowa;Widawa (136);51 06 21;17 24 24;
415;151170060;Bogdaj;Polska Woda (142);51 30 58;17 33 51;
416;151170070;Odolanów;Barycz (14);51 34 32;17 40 12;
417;151170080;Odolanów;Kuroch (1414);51 34 42;17 40 13;
418;151170090;Namysłów;Widawa (136);51 04 49;17 42 36;
419;151170110;Bogusław;Prosna (184);51 53 54;17 57 13;
420;151180010;Ołobok;Ołobok (1844);51 38 22;18 04 08;
421;151180020;Piwonice;Prosna (184);51 43 36;18 06 26;
422;151180030;Kuźnica Skakawska;Niesób (1842);51 16 47;18 07 54;
423;151180040;Mirków;Prosna (184);51 18 56;18 09 17;
424;151180050;Dębe;Swędrnia (18482);51 47 29;18 11 52;
425;151180060;Kraszewice;Łużyca (18438);51 31 09;18 13 30;
426;151180070;Gorzów Śląski;Prosna (184);51 02 07;18 26 04;
427;151180080;Sieradz;Warta (18);51 36 00;18 44 31;
428;151180090;Niechmirów;Oleśnica (1818);51 23 17;18 45 44;
429;151180100;Osjaków;Warta (18);51 17 08;18 47 06;
430;151180110;Uniejów;Warta (18);51 58 21;18 47 28;
431;151180120;Burzenin;Warta (18);51 27 30;18 50 16;
432;151180130;Działoszyn;Warta (18);51 06 37;18 52 24;
433;151180140;Podgórze;Widawka (182);51 27 54;18 56 35;
434;151180150;Widawa;Nieciecz (18292);51 26 18;18 56 48;
435;151180160;Poddębice;Ner (1832);51 53 30;18 56 58;
436;151180170;Rogóźno;Widawka (182);51 26 08;18 58 27;
437;151180180;Grabno;Grabia (1828);51 27 30;18 59 07;
438;151180190;Grabów nad Prosną;Prosna (184);51 30 36;18 07 27;
439;151180200;Kuśnie;Żeglina (18312);51 32 06;18 40 51;
440;151180210;Smardzew;Myja (18314);51 35 49;18 39 20;
441;151180220;Grabina;Pichna (183178);51 45 40;18 45 46;
442;151190010;Kule;Liswarta (1816);51 02 34;19 02 53;
443;151190020;Szczerców;Widawka (182);51 19 42;19 06 49;
444;151190030;Łask;Grabia (1828);51 35 49;19 07 19;
445;151190040;Lutomiersk;Ner (1832);51 45 23;19 13 17;
446;151190060;Bobry;Warta (18);51 01 31;19 24 19;
447;151190070;Gieczno;Moszczenica (2722);51 59 49;19 26 35;
448;151190080;Kłudzice;Luciąża (254534);51 20 57;19 46 55;
449;151190090;Przedbórz;Pilica (254);51 05 22;19 52 30;
450;151190100;Sulejów-Kopalnia;Pilica (254);51 20 37;19 53 10;
451;151190110;Zawada;Wolbórka (2546);51 31 48;19 56 34;
452;151190120;Dąbrowa;Czarna (2544);51 18 50;19 58 18;
453;151190130;Kazimierz;Ner (1832);51 45 58;19 12 09;
454;151200020;Spała;Pilica (254);51 32 14;20 08 02;
455;151200040;Opoczno;Drzewiczka (2548);51 22 53;20 18 03;
456;151200080;Odrzywół;Drzewiczka (2548);51 31 10;20 33 46;
457;151200090;Nowe Miasto n.Pilicą;Pilica (254);51 36 33;20 34 24;
458;151200100;Bzin;Kamienna (234);51 06 13;20 51 20;
459;151200110;Słowików;Radomka (252);51 27 26;20 53 17;
460;151200120;Białobrzegi;Pilica (254);51 39 27;20 57 04;
461;151210010;Wąchock;Kamienna (234);51 04 33;21 01 08;
462;151210020;Michałów;Kamienna (234);51 00 42;21 06 04;
463;151210040;Brody Iłżeckie;Kamienna (234);51 01 17;21 12 10;
464;151210050;GUSIN;Wisła (2);51 53 34;21 15 16;
465;151210060;ROGOŻEK;Radomka (252);51 38 08;21 21 31;
466;151210070;Cyganówka;Wilga (2536);51 51 43;21 27 01;
467;151210080;Kazanów;Iłżanka (236);51 16 24;21 28 00;
468;151210090;Czekarzewice;Kamienna (234);51 01 59;21 40 53;
469;151210100;OZIEMKÓWKA;Wilga (2536);51 54 59;21 45 06;
470;151210110;Mika;Okrzejka (2532);51 40 24;21 45 22;
471;151210120;Dęblin;Wisła (2);51 33 46;21 49 35;
472;151210130;BÓR;Wyżnica (2336);51 00 51;21 52 41;
473;151210190;PUŁAWY-AZOTY;Wisła (2);51 26 43;21 56 44;
474;151210220;Kolonia Nadwiślańska;Wisła (2);51 07 29;21 47 26;
475;151220010;Kośmin;Wieprz (24);51 34 23;22 00 05;
476;151220040;Witowice;Kurówka (2392);51 24 33;22 05 10;
477;151220050;MŁYNISKA;Minina (2492);51 32 34;22 23 12;
478;151220070;Lublin;Bystrzyca (246);51 13 04;22 32 32;
479;151220080;Tchórzew;Tyśmienica (248);51 40 45;22 33 22;
480;151220090;Lubartów;Wieprz (24);51 29 53;22 38 37;
481;151220100;Sobianowice;Bystrzyca (246);51 18 06;22 41 17;
482;151220110;Siemień;Tyśmienica (248);51 38 35;22 46 42;
483;151220120;PARCZEW;Piwonia (2482);51 38 51;22 54 29;
484;151220130;BISKUPICE;Giełczewka (244);51 09 18;22 56 43;
485;151220150;Zemborzyce;Bystrzyca (246);51 09 20;22 29 31;
486;151230010;Trawniki;Wieprz (24);51 08 19;23 00 04;
487;151230020;Rossosz;Muława (26714484);51 51 28;23 07 55;
488;151230030;Okuninka;Włodawka (2671436);51 31 18;23 31 22;
489;151230040;WŁODAWA;Bug (26714);51 33 05;23 33 59;
490;151230050;RUDA-OPALIN;Uherka (2671434);51 15 24;23 35 05;
491;151230060;Dorohusk;Bug (26714);51 11 06;23 48 28;
492;152140010;Bielinek;Odra (1);52 55 45;14 09 15;
493;152140020;Gozdowice;Odra (1);52 45 51;14 19 04;
494;152140050;Słubice;Odra (1);52 20 53;14 33 20;
495;152140060;Kostrzyn nad Odrą;Odra (1);52 35 57;14 36 38;
496;152140070;Kostrzyn nad Odrą;Warta (18);52 34 55;14 39 44;
497;152140080;Maczków;Ilanka (178);52 16 30;14 44 40;
498;152140090;Biała Góra;Odra (1);52 05 36;14 43 38;
499;152140100;Dolsk;Myśla (1912);52 48 10;14 50 35;
500;152140110;SĄDÓW;Pliszka (176);52 13 10;14 50 51;
501;152140120;Myślibórz;Myśla (1912);52 55 17;14 51 44;
502;152140130;Połęcko;Odra (1);52 03 09;14 53 32;
503;152150010;Świerkocin;Warta (18);52 39 02;14 59 58;
504;152150020;Stary Raduszec;Bóbr (16);52 02 11;15 04 43;
505;152150040;Gorzów Wielkopolski;Warta (18);52 43 48;15 15 11;
506;152150050;Nietków;Odra (1);52 02 47;15 20 51;
507;152150080;Santok;Warta (18);52 44 01;15 23 48;
508;152150090;Santok;Noteć (188);52 44 21;15 25 04;
509;152150100;Bledzew;Obra (1878);52 31 03;15 25 16;
510;152150110;Skwierzyna;Warta (18);52 36 07;15 30 01;
511;152150130;Cigacice;Odra (1);52 01 59;15 36 27;
512;152150140;Gościmiec;Noteć (188);52 46 32;15 38 18;
513;152150150;Ługi;Jez. Żabie (Mierzęcka Struga) (18888);52 56 40;15 41 36;
514;152150180;Mierzęcin;Mierzęcka Struga (18888);52 57 21;15 49 46;
515;152150190;Nowe Drezdenko;Noteć (188);52 51 03;15 50 15;
516;152150200;Międzychód;Warta (18);52 36 15;15 53 10;
517;152150220;Zbąszyń;Obra (1878);52 15 01;15 55 23;
518;152150230;Chełst;Miała (18892);52 49 45;15 56 57;
519;152150240;Drawiny;Drawa (1888);52 53 08;15 58 40;
520;152160010;Krzyż;Noteć (188);52 51 42;16 00 06;
521;152160050;Wronki;Warta (18);52 42 42;16 22 48;
522;152160060;Konojad;Mogilnica (18568);52 09 05;16 31 55;
523;152160070;Czarnków;Noteć (188);52 54 30;16 33 15;
524;152160080;Szamotuły;Sama (1872);52 36 44;16 34 53;
525;152160090;Kościan;Kanał Mosiński (1856);52 05 24;16 38 39;
